# The CSxBR upper limit for diphoton resonance searches from ATLAS 8 TeV Results(1407.6583)
# Scalar_Mass[GeV] Upper_Limit[fb]

65.00000    90.21135
67.76108    50.654026
69.95539    76.872536
72.573235   36.780167
76.125755   75.03525
78.73929    93.33898
80.72777    67.772095
81.9847 43.80087
85.12332    33.546368
86.3786 31.344517
87.63396    28.72448
90.03575    63.328747
91.29037    68.439705
92.8605 49.934486
93.80212    45.760406
96.31185    47.803288
98.090576   39.56551
99.45131    30.449377
104.259766  50.18281
107.19115   25.081654
109.282585  26.074497
111.79276   24.720453
112.52391   30.305895
115.55703   28.4549
117.64989   21.582546
118.801346  17.017483
121.62415   20.66151
123.716286  18.391535
126.95612   29.727777
131.45753   11.106773
134.48857   16.531916
136.68532   14.644452
139.40248   22.44116
141.80827   20.367044
142.54253   12.539895
144.63515   10.03251
146.41318   9.697783
150.17644   13.952956
153.41916   11.889666
155.61713   8.027176
158.02164   9.651949
161.67973   15.82998
167.74702   11.056926
172.87122   11.720131
175.80147   7.538153
184.69292   4.732501
191.06944   8.977568
195.56696   7.9527683
199.12097   11.666395
204.66322   13.107291
209.78954   8.679464
212.5093    7.5043526
217.00955   3.6080291
221.29684   4.0536013
225.06148   4.2966833
229.7655    6.844865
232.27618   5.8044195
237.61269   3.0601323
241.1688    2.818038
243.78249   3.3884416
248.27673   6.1831393
252.87767   7.0828304
258.21176   6.3663297
262.3944    7.257362
267.8338    5.531525
274.94955   2.1589308
279.9685    2.6340322
286.45248   2.647005
294.8165    4.5572586
299.62695   4.8072205
306.11188   3.9215136
309.87827   2.819917
314.69202   1.4370468
318.3524    1.423225
326.19302   2.7130268
334.14185   2.3231843
340.31268   2.0381567
347.9465    2.3122535
356.52167   2.5603855
365.61884   3.458906
369.27933   3.3273861
372.94116   2.3811073
377.022 1.4589909
380.68283   1.3050328
389.4642    2.7678726
393.85596   3.1860266
399.08572   2.7149456
404.73462   1.9241217
408.6051    1.5394151
412.37006   1.5246103
415.9255    1.6317854
419.0622    1.9150783
423.97757   1.8783726
431.92828   1.0598962
434.96118   1.0446168
440.18948   1.2319574
444.8951    1.3707418
454.72708   1.0099403
459.9563    0.9668528
467.59048   1.0100663
476.58496   0.89915556
484.53296   0.9257774
491.01746   0.824102
498.86118   0.79665333
507.4381    0.5955568
513.7118    0.77017134
526.1527    1.9263892
530.6491    2.1853886
540.06146   2.1540172
545.39557   1.9267489
553.8667    1.8807408
558.9921    1.5193931
568.6145    1.2334931
580.9552    1.1809496
587.23065   1.0260606
592.9832    0.90017134
600.0000    0.6729339
