# The CSxBR upper limit for diphoton resonance searches from ATLAS 13 TeV Results(1707.04147)
# Scalar_Mass[GeV] Upper_Limit[fb]

200.00000   11.270368
205.37578   6.223683
211.51309   6.895546
218.40112   6.091986
231.42325   5.6893444
248.27472   5.156737
258.2285    4.594867
264.34964   4.024884
271.99576   3.1549673
291.15958   3.4805567
303.44565   5.0471635
317.91052   1.2753555
334.84244   3.7264285
350.1555    3.100996
360.85144   1.9465472
368.49756   1.525831
378.47214   1.8413224
386.93237   2.8958929
394.55206   1.5454257
405.29382   1.8890206
412.92438   1.1807227
425.98114   1.825472
432.8536    1.285983
448.93616   1.1216338
461.95477   0.9951555
474.25757   1.8409457
491.1061    1.5988247
502.56543   0.96163654
520.1829    0.8678961
527.8648    1.1456562
538.57666   0.90573996
560.03406   0.9252521
569.9828    0.76668715
586.07477   0.76666075
602.1931    1.1260669
612.912 0.9863711
622.10626   0.9696403
636.6213    0.50868475
654.2655    0.6772307
664.97  0.4811757
678.7851    0.6628839
701.02844   0.901566
727.8575    1.0291687
747.7036    0.3346012
754.5937    0.30458236
767.62964   0.34770152
778.4201    0.8637198
785.309 0.7729101
795.22406   0.39185828
799.04956   0.35976568
814.40283   0.5375298
824.3663    0.551474
841.2357    0.6486499
869.54913   0.3674775
879.50995   0.36279032
893.2631    0.2029195
912.44604   0.2955094
931.5808    0.21357562
947.6816    0.2427702
961.4447    0.15701576
986.02277   0.35962203
1010.5153   0.23760778
1038.1271   0.3445443
1053.4442   0.304388
1073.3359   0.19188365
1089.4337   0.20899159
1116.2683   0.2587428
1136.9453   0.21531375
1150.7379   0.21347566
1170.6368   0.1497411
1190.5737   0.18224926
1205.8912   0.16169757
1244.245    0.28782716
1276.3745   0.13057911
1308.5787   0.175331
1340.0149   0.22946301
1364.5283   0.20533003
1397.4426   0.12192052
1426.5975   0.20618172
1451.8702   0.16651843
1466.4308   0.16938306
1497.8105   0.097613245
1519.2611   0.09038444
1539.9537   0.09432512
1565.274    0.1521935
1576.7988   0.23732054
1598.2732   0.31059793
1618.1842   0.2595721
1631.9447   0.16155049
1643.407    0.10140778
1659.4907   0.08997219
1674.8164   0.08996925
1687.0881   0.10582387
1706.2614   0.13384639
1717.7491   0.12183714
1730.0  0.10581417
1742.2513   0.092686936
1753.746    0.09308145
1763.7141   0.102251634
1785.1888   0.13439675
1795.9147   0.13043429
1815.8185   0.09796457
1827.3063   0.08917478
1857.9807   0.12496296
1871.0132   0.13552509
1884.8019   0.12710938
1903.9381   0.09385003
1922.3213   0.08398078
1955.269    0.08115345
2060.25 0.08113526
2084.0146   0.09381393
2098.5964   0.12979433
2114.6917   0.13603446
2132.314    0.13202178
2147.633    0.11966296
2166.0063   0.092999525
2182.0947   0.08834914
2195.897    0.1008564
2208.9426   0.13256527
2235.0007   0.14133018
2259.537    0.1764766
2300.906    0.15195455
2334.6316   0.1734588
2366.8027   0.1437255
2395.1494   0.13251257
2441.094    0.08246648
2477.1045   0.07701219
2510.8257   0.082454205
2536.1409   0.1237205
2568.3337   0.14062756
2599.7483   0.13473748
2620.428    0.11651704
2647.227    0.08602787
2676.3374   0.07599916
2700.0898   0.07344199
